OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
CALSPHERE 1,1964-063C,2026-02-27T07:46:02.552160,13.76482068,.00233827,90.2154,69.2146,264.6421,112.5281,0,U,900,999,5631,.66854215E-3,.664E-5,0
CALSPHERE 2,1964-063E,2026-02-27T06:23:08.808288,13.52890961,.00184772,90.2280,73.1938,180.4017,196.9820,0,U,902,999,84140,.77951347E-4,.61E-6,0
LCS 1,1965-034C,2026-02-27T04:57:59.412960,9.89309901,.00131832,32.1412,78.1501,92.4636,267.7371,0,U,1361,999,19899,-.98738041E-3,.1E-7,0
TEMPSAT 1,1965-065E,2026-02-26T11:15:34.748352,13.33588408,.0069193,89.9915,212.5925,198.1630,224.9155,0,U,1512,999,94529,.85715E-4,.52E-6,0
CALSPHERE 4A,1965-065H,2026-02-27T05:27:13.442688,13.36256973,.00711038,89.9054,123.5690,55.3506,7.2169,0,U,1520,999,94802,.15532662E-3,.91E-6,0
OPS 5712 (P/L 160),1967-053A,2026-02-27T04:40:10.174080,14.75981923,.00048196,69.9186,307.5478,233.4974,126.5730,0,U,2826,999,4999,.12530641E-2,.8572E-4,0
LES-5,1967-066E,2026-02-26T20:58:41.471040,1.09425233,.0056354,2.3681,99.8233,207.8116,133.9560,0,U,2866,999,12982,0,-.72E-6,0
SURCAL 159,1967-053F,2026-02-26T12:36:47.252160,13.99571234,.0009508,69.9717,239.1147,261.5528,98.4502,0,U,2872,999,99472,.11048E-3,.108E-5,0
OPS 5712 (P/L 153),1967-053H,2026-02-27T06:34:40.022112,13.96809412,.0008738,69.9763,350.8930,320.5298,39.5171,0,U,2874,999,99143,.57379496E-4,.26E-6,0
OPS 3811 (DSP 2),1971-039A,2026-02-27T04:45:25.721568,0.98162424,.00244382,0.2331,354.5975,297.3149,103.6748,0,U,5204,999,20515,0,-.21E-5,0
RIGIDSPHERE 2 (LCS 4),1971-067E,2026-02-27T05:33:10.734336,14.37722358,.00578602,87.6260,9.3083,236.7002,122.8648,0,U,5398,999,85808,.26473977E-3,.829E-5,0
OSCAR 7 (AO-7),1974-089B,2026-02-27T06:17:48.258240,12.53696125,.00120588,101.9971,70.3399,342.3149,83.5385,0,U,7530,999,34674,.18010159E-3,-.18E-6,0
STARLETTE,1975-010A,2026-02-27T06:41:41.907264,13.82349035,.02055499,49.8227,178.4245,59.9511,302.1597,0,U,7646,999,57933,-.5256518E-5,-.152E-5,0
LAGEOS 1,1976-039A,2026-02-27T01:17:54.778272,6.38664852,.00446572,109.8198,141.6398,325.8646,178.8531,0,U,8820,999,90610,0,-.11E-6,0
OPS 8701 (DSP 10),1982-019A,2026-02-26T13:43:38.552736,0.98190005,.00057474,9.5142,310.0030,323.1215,228.7904,0,U,13086,999,2457,0,-.193E-5,0
PHASE 3B (AO-10),1983-058B,2026-02-26T15:34:09.593760,2.05871022,.60502883,25.9363,238.1501,84.9862,337.2714,0,U,14129,999,29321,0,.122E-5,0
UOSAT 2 (UO-11),1984-021B,2026-02-26T20:45:43.814016,14.90459245,.0007445,97.7926,24.7793,177.4019,182.7239,0,U,14781,999,24069,.17606E-3,.1662E-4,0
AJISAI (EGS),1986-061A,2026-02-27T06:29:34.593792,12.44515453,.00112444,50.0083,125.3876,260.1819,146.5038,0,U,16908,999,46670,-.69079878E-4,-.107E-5,0
TDRS 3,1988-091B,2026-02-26T20:18:23.173920,1.00261626,.0044225,12.6852,341.7287,351.9002,78.3575,0,U,19548,999,12428,0,-.306E-5,0
COSMOS 1989 (ETALON 1),1989-001C,2026-02-25T15:13:56.690688,2.13155947,.0023405,64.8797,76.0096,217.5488,186.5968,0,U,19751,999,28899,0,.3E-6,0
COSMOS 2024 (ETALON 2),1989-039C,2026-02-26T14:42:40.800672,2.13204438,.0020474,65.0012,314.3472,213.4823,359.7956,0,U,20026,999,28614,0,-.42E-6,0
FLTSATCOM 8 (USA 46),1989-077A,2026-02-26T16:51:38.594592,1.00265970,.00087144,12.4516,351.8249,332.8651,210.4083,0,U,20253,999,25945,0,-.374E-5,0
LUSAT (LO-19),1990-005G,2026-02-27T00:22:51.537792,14.34082795,.00118786,98.8942,76.7405,164.3005,195.8549,0,U,20442,999,88660,.73800874E-4,.16E-5,0
HST,1990-037B,2026-02-27T05:47:12.258240,15.29292719,.00013908,28.4695,111.2668,17.2349,342.8294,0,U,20580,999,77171,.26999326E-3,.8127E-4,0
SKYNET 4C,1990-079A,2026-02-24T23:03:40.682592,1.00276088,.00034347,13.3751,350.5763,331.8955,211.7314,0,U,20776,999,12976,0,.125E-5,0
USA 65 (DSP 15),1990-095A,2026-02-27T02:51:38.493792,0.98398310,.00031205,14.0715,344.8070,53.5732,128.1877,0,U,20929,999,2438,0,-.212E-5,0
TDRS 5,1991-054B,2026-02-27T00:32:38.648256,1.00263582,.0011436,14.0848,354.5916,275.6792,87.3536,0,U,21639,999,12661,0,.77E-6,0
USA 75 (DSP 16),1991-080B,2026-02-26T19:46:34.108032,0.99182607,.0002645,14.0623,346.2934,57.2491,128.1296,0,U,21805,999,2461,0,.11E-6,0
LAGEOS 2,1992-070B,2026-02-27T05:10:06.035232,6.47293287,.0137802,52.6807,336.1594,139.2473,319.4958,0,U,22195,999,78830,0,-.9E-7,0
TDRS 6,1993-003B,2026-02-27T05:51:10.722240,1.00280656,.00056878,14.1805,357.8731,202.6373,358.2471,0,U,22314,999,12130,0,-.304E-5,0
SCD 1,1993-009B,2026-02-27T06:58:24.111840,14.46060281,.00421799,24.9679,166.0939,55.0921,325.4469,0,U,22490,999,74519,.71761467E-4,.448E-5,0
UFO 2 (USA 95),1993-056A,2026-02-26T23:28:51.931776,1.00270294,.00088997,11.8560,4.1507,334.0516,199.4844,0,U,22787,999,11744,0,.116E-5,0
STELLA,1993-061B,2026-02-27T06:57:50.144544,14.27467137,.00061652,98.7866,122.0840,187.2562,260.8627,0,U,22824,999,68909,.2718616E-5,-.38E-6,0
EYESAT A (AO-27),1993-061C,2026-02-27T03:33:33.455232,14.30909001,.00093731,98.7006,125.5494,67.1898,293.0274,0,U,22825,999,69126,.58454318E-4,.109E-5,0
ITAMSAT (IO-26),1993-061D,2026-02-27T03:50:57.199200,14.31332607,.00097132,98.6954,125.4678,51.9935,308.2124,0,U,22826,999,69157,.58412319E-4,.11E-5,0
USA 99 (MILSTAR-1 1),1994-009A,2026-02-26T09:48:21.723264,1.00273441,.0004208,17.4534,28.8998,296.0658,248.3853,0,U,22988,999,3184,0,-.208E-5,0
RADIO ROSTO (RS15),1994-085A,2026-02-27T05:31:30.956160,11.27583715,.01523004,64.8152,121.0503,24.0029,336.7899,0,U,23439,999,28350,-.72482825E-4,-.45E-6,0
UFO 4 (USA 108),1995-003A,2026-02-27T03:04:11.265024,1.00271952,.0003579,9.6670,13.5865,327.6528,34.0389,0,U,23467,999,11385,0,-.32E-6,0
TDRS 7,1995-035B,2026-02-26T19:09:06.818112,1.00277976,.0008009,13.4226,348.9473,46.3565,137.5216,0,U,23613,999,11214,0,-.245E-5,0
USA 115 (MILSTAR-1 2),1995-060A,2026-02-26T12:11:37.195296,1.00273452,.0003915,14.0332,4.5669,329.6239,245.0539,0,U,23712,999,3177,0,-.28E-6,0
POLAR,1996-013A,2026-02-26T21:29:02.081472,1.29845825,.6358395,79.7348,228.3104,212.8170,83.4371,0,U,23802,999,14342,0,.249E-5,0
INMARSAT 3-F1,1996-020A,2026-02-26T16:03:24.719040,0.99995326,.00062528,10.3717,47.6369,266.4883,99.2155,0,U,23839,999,10915,0,.38E-6,0
USA 119,1996-029A,2026-02-27T05:42:01.336608,13.45854727,.0845855,63.3201,119.7374,47.4717,319.4653,0,U,23893,999,9047,.19296254E-3,.1033E-4,0
JAS-2 (FO-29),1996-046B,2026-02-27T05:20:07.287648,13.53268235,.03502794,98.5398,282.0570,21.9107,339.6603,0,U,24278,999,45829,.19681615E-4,-.16E-6,0
INMARSAT 3-F2,1996-053A,2026-02-26T15:07:41.606688,0.99978520,.0006041,9.6067,55.0465,287.6043,301.5798,0,U,24307,999,10781,0,-.102E-5,0
INMARSAT 3-F3,1996-070A,2026-02-27T04:56:38.592672,1.00002373,.00070136,10.0811,50.6925,267.2618,69.6038,0,U,24674,999,10680,0,-.218E-5,0
NAVSTAR 43 (USA 132),1997-035A,2026-02-24T12:32:33.424512,2.00563888,.00977515,55.9308,102.9797,56.3307,304.6651,0,U,24876,999,20969,0,-.4E-7,0
FORTE,1997-047A,2026-02-27T06:08:18.145248,14.27891938,.00193077,69.9512,262.3160,65.4676,294.8456,0,U,24920,999,48299,.10126551E-3,.194E-5,0
AMC-3,1997-050A,2026-02-26T17:15:08.709120,1.00271093,.00033832,7.8749,65.3381,274.1190,3.8759,0,U,24936,999,5132,0,-.274E-5,0
USA 134,1997-065A,2026-02-26T13:33:07.702272,1.00271029,.0007021,12.6530,22.5397,300.7127,284.3510,0,U,25019,999,3184,0,-.73E-6,0
ORBCOMM FM06,1997-084G,2026-02-27T05:05:36.677184,14.47216831,.00011867,45.0125,222.0099,121.6200,48.2320,0,U,25118,999,47845,.50313926E-3,.1711E-4,0
INMARSAT 3-F5,1998-006B,2026-02-26T23:19:38.430912,1.00269514,.000528,9.4471,54.3376,286.0776,112.3027,0,U,25153,999,10279,0,-.303E-5,0
ORBCOMM FM04,1998-007C,2026-02-27T05:32:37.091040,14.35504084,.00392811,107.9631,303.1908,161.7872,198.4685,0,U,25159,999,46081,.3354686E-3,.842E-5,0
CELESTIS-02 & TAURUS R/B,1998-007D,2026-02-27T02:47:01.941216,14.22449795,.00629708,108.0102,110.1104,319.7416,64.0309,0,U,25160,999,45486,.59391723E-4,.5E-7,0
TECHSAT 1B (GO-32),1998-043D,2026-02-26T12:01:27.088608,14.24402404,.0001694,99.0013,47.5007,137.8112,222.3196,0,U,25397,999,43557,.56635E-4,.84E-6,0
WESTPAC,1998-043E,2026-02-27T05:32:30.049440,14.23045993,.00018709,99.0051,41.7243,133.8015,226.3317,0,U,25398,999,43530,.23261973E-4,.6E-7,0
ORBCOMM FM19,1998-046C,2026-02-27T06:29:56.243904,14.39233735,.00010878,44.9944,45.9340,135.9154,238.6049,0,U,25415,999,44094,.46062788E-3,.1299E-4,0
ORBCOMM FM20,1998-046D,2026-02-27T05:49:52.677120,14.37868032,.00016441,44.9943,52.8009,272.2463,87.8197,0,U,25416,999,44096,.36833097E-3,.979E-5,0
ORBCOMM FM27,1998-053G,2026-02-27T05:16:59.836800,14.38899419,.00014758,45.0043,137.5680,224.1041,135.9690,0,U,25481,999,43439,.42773342E-3,.1187E-4,0
SCD 2,1998-060A,2026-02-27T06:30:34.997760,14.45475856,.00168956,24.9963,29.9859,42.3895,107.6760,0,U,25504,999,44440,.80013662E-4,.468E-5,0
ISS (ZARYA),1998-067A,2026-02-27T06:02:26.632896,15.48333785,.00083426,51.6322,123.9568,138.2013,221.9613,0,U,25544,999,55471,.26392566E-3,.13796E-3,0
SWAS,1998-071A,2026-02-27T06:13:07.055616,15.08770710,.00030894,69.8968,150.8321,35.6721,324.4648,0,U,25560,999,48068,.35857725E-3,.5546E-4,0
ISS (UNITY),1998-069F,2026-02-26T22:17:44.073312,15.48321702,.0008331,51.6324,125.5516,137.1924,222.9714,0,U,25575,999,55455,.23739E-3,.12356E-3,0
DLR-TUBSAT,1999-029B,2026-02-27T04:55:55.163712,14.52392509,.00135861,98.6652,50.1178,328.8972,31.1417,0,U,25757,999,41728,.43759357E-4,.13E-5,0
CXO,1999-040B,2026-03-01T22:55:05.340288,0.37807248,.8010409,54.4516,119.8366,310.7933,0.3631,0,U,25867,999,1691,0,.888E-5,0
ABS-6,1999-053A,2026-02-27T04:43:03.450144,1.00272565,.00032123,0.0591,263.9895,51.2686,71.5333,0,U,25924,999,9673,0,-.134E-5,0
NAVSTAR 46 (USA 145),1999-055A,2026-02-26T06:29:50.572608,2.00567938,.0106482,51.5624,300.3207,171.5575,301.5282,0,U,25933,999,19335,0,-.32E-6,0
UFO 10 (USA 146),1999-063A,2026-02-26T17:35:00.936672,1.00274671,.00054037,9.8404,27.8208,291.5582,78.0643,0,U,25967,999,9624,0,-.198E-5,0
ORBCOMM FM32,1999-065C,2026-02-27T02:26:01.786848,14.36940158,.00057239,45.0169,334.2466,240.6739,119.3537,0,U,25982,999,37125,.31391869E-3,.796E-5,0
XMM-NEWTON,1999-066A,2026-02-28T15:32:26.903904,0.50130660,.471386,65.0300,284.4026,66.8538,359.9972,0,U,25989,999,2245,0,.96E-6,0
TERRA,1999-068A,2026-02-27T05:35:11.333184,14.61001866,.00019762,97.9617,112.0659,178.1687,221.9941,0,U,25994,999,39355,.10557901E-3,.473E-5,0
ASIASTAR,2000-016A,2026-02-26T21:36:52.811136,1.00273668,.00044434,8.8735,59.3206,280.2188,246.4098,0,U,26107,999,9481,0,-.346E-5,0
